ID,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,height_cm,weight_kg,Rarity
46,Paras,285,35,70,55,45,55,25,1,30,5.4,
47,Parasect,405,60,95,80,60,80,30,1,100,29.5,
48,Venonat,305,60,55,50,40,55,45,1,100,30.0,
49,Venomoth,450,70,65,60,90,75,90,1,150,12.5,
50,Diglett,265,10,55,25,35,45,95,1,20,0.8,
51,Dugtrio,425,35,100,50,50,70,120,1,70,33.3,
52,Meowth,290,40,45,35,40,40,90,1,40,4.2,
53,Persian,440,65,70,60,65,65,115,1,100,32.0,
54,Psyduck,320,50,52,48,65,50,55,1,80,19.6,
55,Golduck,500,80,82,78,95,80,85,1,170,76.6,
56,Mankey,305,40,80,35,35,45,70,1,50,28.0,
57,Primeape,455,65,105,60,60,70,95,1,100,32.0,
58,Growlithe,350,55,70,45,70,50,60,1,70,19.0,
59,Arcanine,555,90,110,80,100,80,95,1,190,155.0,
60,Poliwag,300,40,50,40,40,40,90,1,60,12.4,
61,Poliwhirl,385,65,65,65,50,50,90,1,100,20.0,
62,Poliwrath,510,90,95,95,70,90,70,1,130,54.0,
63,Abra,310,25,20,15,105,55,90,1,90,19.5,
64,Kadabra,400,40,35,30,120,70,105,1,130,56.5,
65,Alakazam,500,55,50,45,135,95,120,1,150,48.0,
66,Machop,305,70,80,50,35,35,35,1,80,19.5,
67,Machoke,405,80,100,70,50,60,45,1,150,70.5,
68,Machamp,505,90,130,80,65,85,55,1,160,130.0,
69,Bellsprout,300,50,75,35,70,30,40,1,70,4.0,
70,Weepinbell,390,65,90,50,85,45,55,1,100,6.4,
71,Victreebel,490,80,105,65,100,70,70,1,170,15.5,
72,Tentacool,335,40,40,35,50,100,70,1,90,45.5,
73,Tentacruel,515,80,70,65,80,120,100,1,160,55.0,
74,Geodude,300,40,80,100,30,30,20,1,40,20.0,
75,Graveler,390,55,95,115,45,45,35,1,100,105.0,
76,Golem,495,80,120,130,55,65,45,1,140,300.0,
77,Ponyta,410,50,85,55,65,65,90,1,100,30.0,
78,Rapidash,500,65,100,70,80,80,105,1,170,95.0,
79,Slowpoke,315,90,65,65,40,40,15,1,120,36.0,
80,Slowbro,490,95,75,110,100,80,30,1,160,78.5,
81,Magnemite,325,25,35,70,95,55,45,1,30,6.0,
82,Magneton,465,50,60,95,120,70,70,1,100,60.0,
83,Farfetch'd,377,52,90,55,58,62,60,1,80,15.0,
84,Doduo,310,35,85,45,35,35,75,1,140,39.2,
85,Dodrio,470,60,110,70,60,60,110,1,180,85.2,
86,Seel,325,65,45,55,45,70,45,1,110,90.0,
87,Dewgong,475,90,70,80,70,95,70,1,170,120.0,
88,Grimer,325,80,80,50,40,50,25,1,90,30.0,
89,Muk,500,105,105,75,65,100,50,1,120,30.0,
90,Shellder,305,30,65,100,45,25,40,1,30,4.0,
91,Cloyster,525,50,95,180,85,45,70,1,150,132.5,
92,Gastly,310,30,35,30,100,35,80,1,130,0.1,
93,Haunter,405,45,50,45,115,55,95,1,160,0.1,
94,Gengar,500,60,65,60,130,75,110,1,150,40.5,
95,Onix,385,35,45,160,30,45,70,1,880,210.0,
96,Drowzee,328,60,48,45,43,90,42,1,100,32.4,
97,Hypno,483,85,73,70,73,115,67,1,160,75.6,
98,Krabby,325,30,105,90,25,25,50,1,40,6.5,
99,Kingler,475,55,130,115,50,50,75,1,130,60.0,
100,Voltorb,330,40,30,50,55,55,100,1,50,10.4,
101,Electrode,490,60,50,70,80,80,150,1,120,66.6,
102,Exeggcute,325,60,40,80,60,45,40,1,40,2.5,
103,Exeggutor,530,95,95,85,125,75,55,1,200,120.0,
104,Cubone,320,50,50,95,40,50,35,1,40,6.5,
105,Marowak,425,60,80,110,50,80,45,1,100,45.0,
106,Hitmonlee,455,50,120,53,35,110,87,1,150,49.8,
107,Hitmonchan,455,50,105,79,35,110,76,1,140,50.2,
108,Lickitung,385,90,55,75,60,75,30,1,120,65.5,
109,Koffing,340,40,65,95,60,45,35,1,60,1.0,
110,Weezing,490,65,90,120,85,70,60,1,120,9.5,
111,Rhyhorn,345,80,85,95,30,30,25,1,100,115.0,
112,Rhydon,485,105,130,120,45,45,40,1,190,120.0,
113,Chansey,450,250,5,5,35,105,50,1,110,34.6,
114,Tangela,435,65,55,115,100,40,60,1,100,35.0,
115,Kangaskhan,490,105,95,80,40,80,90,1,220,80.0,
116,Horsea,295,30,40,70,70,25,60,1,40,8.0,
117,Seadra,440,55,65,95,95,45,85,1,120,25.0,
118,Goldeen,320,45,67,60,35,50,63,1,60,15.0,
119,Seaking,450,80,92,65,65,80,68,1,130,39.0,
120,Staryu,340,30,45,55,70,55,85,1,80,34.5,
121,Starmie,520,60,75,85,100,85,115,1,110,80.0,
122,Mr. Mime,460,40,45,65,100,120,90,1,130,54.5,
123,Scyther,500,70,110,80,55,80,105,1,150,56.0,
124,Jynx,455,65,50,35,115,95,95,1,140,40.6,
125,Electabuzz,490,65,83,57,95,85,105,1,110,30.0,
126,Magmar,495,65,95,57,100,85,93,1,130,44.5,
127,Pinsir,500,65,125,100,55,70,85,1,150,55.0,
128,Tauros,490,75,100,95,40,70,110,1,140,88.4,
129,Magikarp,200,20,10,55,15,20,80,1,90,10.0,
130,Gyarados,540,95,125,79,60,100,81,1,650,235.0,
131,Lapras,535,130,85,80,85,95,60,1,250,220.0,
132,Ditto,288,48,48,48,48,48,48,1,30,4.0,
133,Eevee,325,55,55,50,45,65,55,1,30,6.5,
134,Vaporeon,525,130,65,60,110,95,65,1,100,29.0,
135,Jolteon,525,65,65,60,110,95,130,1,80,24.5,
136,Flareon,525,65,130,60,95,110,65,1,90,25.0,
137,Porygon,395,65,60,70,85,75,40,1,80,36.5,
138,Omanyte,355,35,40,100,90,55,35,1,40,7.5,
139,Omastar,495,70,60,125,115,70,55,1,100,35.0,
140,Kabuto,355,30,80,90,55,45,55,1,50,11.5,
141,Kabutops,495,60,115,105,65,70,80,1,130,40.5,
142,Aerodactyl,515,80,105,65,60,75,130,1,180,59.0,
143,Snorlax,540,160,110,65,65,110,30,1,210,460.0,
144,Articuno,580,90,85,100,95,125,85,1,170,55.4,Legendary
145,Zapdos,580,90,90,85,125,90,100,1,160,52.6,Legendary
146,Moltres,580,90,100,90,125,85,90,1,200,60.0,Legendary
147,Dratini,300,41,64,45,50,50,50,1,180,3.3,
148,Dragonair,420,61,84,65,70,70,70,1,400,16.5,
149,Dragonite,600,91,134,95,100,100,80,1,220,210.0,Pseudo-Legendary
150,Mewtwo,680,106,110,90,154,90,130,1,200,122.0,Legendary
151,Mew,600,100,100,100,100,100,100,1,40,4.0,Mythical
152,Chikorita,318,45,49,65,49,65,45,2,90,6.4,
153,Bayleef,405,60,62,80,63,80,60,2,120,15.8,
154,Meganium,525,80,82,100,83,100,80,2,180,100.5,
155,Cyndaquil,309,39,52,43,60,50,65,2,50,7.9,
156,Quilava,405,58,64,58,80,65,80,2,90,19.0,
157,Typhlosion,534,78,84,78,109,85,100,2,170,79.5,
158,Totodile,314,50,65,64,44,48,43,2,60,9.5,
159,Croconaw,405,65,80,80,59,63,58,2,110,25.0,
160,Feraligatr,530,85,105,100,79,83,78,2,230,88.8,
161,Sentret,215,35,46,34,35,45,20,2,80,6.0,
162,Furret,415,85,76,64,45,55,90,2,180,32.5,
163,Hoothoot,262,60,30,30,36,56,50,2,70,21.2,
164,Noctowl,452,100,50,50,86,96,70,2,160,40.8,
165,Ledyba,265,40,20,30,40,80,55,2,100,10.8,
166,Ledian,390,55,35,50,55,110,85,2,140,35.6,
167,Spinarak,250,40,60,40,40,40,30,2,50,8.5,
168,Ariados,400,70,90,70,60,70,40,2,110,33.5,
169,Crobat,535,85,90,80,70,80,130,2,180,75.0,
170,Chinchou,330,75,38,38,56,56,67,2,50,12.0,
171,Lanturn,460,125,58,58,76,76,67,2,120,22.5,
172,Pichu,205,20,40,15,35,35,60,2,30,2.0,
173,Cleffa,218,50,25,28,45,55,15,2,30,3.0,
174,Igglybuff,210,90,30,15,40,20,15,2,30,1.0,
175,Togepi,245,35,20,65,40,65,20,2,30,1.5,
176,Togetic,405,55,40,85,80,105,40,2,60,3.2,
177,Natu,320,40,50,45,70,45,70,2,20,2.0,
178,Xatu,470,65,75,70,95,70,95,2,150,15.0,
179,Mareep,280,55,40,40,65,45,35,2,60,7.8,
180,Flaaffy,365,70,55,55,80,60,45,2,80,13.3,
181,Ampharos,510,90,75,85,115,90,55,2,140,61.5,
182,Bellossom,490,75,80,95,90,100,50,2,40,5.8,
183,Marill,250,70,20,50,20,50,40,2,40,8.5,
184,Azumarill,420,100,50,80,60,80,50,2,80,28.5,
185,Sudowoodo,410,70,100,115,30,65,30,2,120,38.0,
186,Politoed,500,90,75,75,90,100,70,2,110,33.9,
187,Hoppip,250,35,35,40,35,55,50,2,40,0.5,
188,Skiploom,340,55,45,50,45,65,80,2,60,1.0,
189,Jumpluff,460,75,55,70,55,95,110,2,80,3.0,
190,Aipom,360,55,70,55,40,55,85,2,80,11.5,
191,Sunkern,180,30,30,30,30,30,30,2,30,1.8,
192,Sunflora,425,75,75,55,105,85,30,2,80,8.5,
193,Yanma,390,65,65,45,75,45,95,2,120,38.0,
194,Wooper,210,55,45,45,25,25,15,2,40,8.5,
195,Quagsire,430,95,85,85,65,65,35,2,140,75.0,
196,Espeon,525,65,65,60,130,95,110,2,90,26.5,
197,Umbreon,525,95,65,110,60,130,65,2,100,27.0,
198,Murkrow,405,60,85,42,85,42,91,2,50,2.1,
199,Slowking,490,95,75,80,100,110,30,2,200,79.5,
200,Misdreavus,435,60,60,60,85,85,85,2,70,1.0,
201,Unown,336,48,72,48,72,48,48,2,50,5.0,
202,Wobbuffet,405,190,33,58,33,58,33,2,130,28.5,
203,Girafarig,455,70,80,65,90,65,85,2,150,41.5,
204,Pineco,290,50,65,90,35,35,15,2,60,7.2,
205,Forretress,465,75,90,140,60,60,40,2,120,125.8,
206,Dunsparce,415,100,70,70,65,65,45,2,150,14.0,
207,Gligar,430,65,75,105,35,65,85,2,110,64.8,
208,Steelix,510,75,85,200,55,65,30,2,920,400.0,
209,Snubbull,300,60,80,50,40,40,30,2,60,7.8,
210,Granbull,450,90,120,75,60,60,45,2,140,48.7,
211,Qwilfish,440,65,95,85,55,55,85,2,50,3.9,
212,Scizor,500,70,130,100,55,80,65,2,180,118.0,
213,Shuckle,505,20,10,230,10,230,5,2,60,20.5,
214,Heracross,500,80,125,75,40,95,85,2,150,54.0,
215,Sneasel,430,55,95,55,35,75,115,2,90,28.0,
216,Teddiursa,330,60,80,50,50,50,40,2,60,8.8,
217,Ursaring,500,90,130,75,75,75,55,2,180,125.8,
218,Slugma,250,40,40,40,70,40,20,2,70,35.0,
219,Magcargo,430,60,50,120,90,80,30,2,80,55.0,
220,Swinub,250,50,50,40,30,30,50,2,40,6.5,
221,Piloswine,450,100,100,80,60,60,50,2,110,55.8,
222,Corsola,410,65,55,95,65,95,35,2,60,5.0,
223,Remoraid,300,35,65,35,65,35,65,2,60,12.0,
224,Octillery,480,75,105,75,105,75,45,2,90,28.5,
225,Delibird,330,45,55,45,65,45,75,2,90,16.0,
226,Mantine,485,85,40,70,80,140,70,2,210,220.0,
227,Skarmory,465,65,80,140,40,70,70,2,170,50.5,
228,Houndour,330,45,60,30,80,50,65,2,60,10.8,
229,Houndoom,500,75,90,50,110,80,95,2,140,35.0,
230,Kingdra,540,75,95,95,95,95,85,2,180,152.0,
231,Phanpy,330,90,60,60,40,40,40,2,50,33.5,
232,Donphan,500,90,120,120,60,60,50,2,110,120.0,
233,Porygon2,515,85,80,90,105,95,60,2,60,32.5,
234,Stantler,465,73,95,62,85,65,85,2,140,71.2,
235,Smeargle,250,55,20,35,20,45,75,2,120,58.0,
236,Tyrogue,210,35,35,35,35,35,35,2,70,21.0,
237,Hitmontop,455,50,95,95,35,110,70,2,140,48.0,
238,Smoochum,305,45,30,15,85,65,65,2,40,6.0,
239,Elekid,360,45,63,37,65,55,95,2,60,23.5,
240,Magby,365,45,75,37,70,55,83,2,70,21.4,
241,Miltank,490,95,80,105,40,70,100,2,120,75.5,
242,Blissey,540,255,10,10,75,135,55,2,150,46.8,
243,Raikou,580,90,85,75,115,100,115,2,190,178.0,Legendary
244,Entei,580,115,115,85,90,75,100,2,210,198.0,Legendary
245,Suicune,580,100,75,115,90,115,85,2,200,187.0,Legendary
246,Larvitar,300,50,64,50,45,50,41,2,60,72.0,
247,Pupitar,410,70,84,70,65,70,51,2,120,152.0,
248,Tyranitar,600,100,134,110,95,100,61,2,200,202.0,Pseudo-Legendary
249,Lugia,680,106,90,130,90,154,110,2,520,216.0,Legendary
250,Ho-oh,680,106,130,90,110,154,90,2,380,199.0,Legendary
251,Celebi,600,100,100,100,100,100,100,2,60,5.0,Mythical
252,Treecko,310,40,45,35,65,55,70,3,50,5.0,
253,Grovyle,405,50,65,45,85,65,95,3,90,21.6,
254,Sceptile,530,70,85,65,105,85,120,3,170,52.2,
255,Torchic,310,45,60,40,70,50,45,3,40,2.5,
256,Combusken,405,60,85,60,85,60,55,3,90,19.5,
257,Blaziken,530,80,120,70,110,70,80,3,190,52.0,
258,Mudkip,310,50,70,50,50,50,40,3,40,7.6,
259,Marshtomp,405,70,85,70,60,70,50,3,70,28.0,
260,Swampert,535,100,110,90,85,90,60,3,150,81.9,
261,Poochyena,220,35,55,35,30,30,35,3,50,13.6,
262,Mightyena,420,70,90,70,60,60,70,3,100,37.0,
263,Zigzagoon,240,38,30,41,30,41,60,3,40,17.5,
264,Linoone,420,78,70,61,50,61,100,3,50,32.5,
265,Wurmple,195,45,45,35,20,30,20,3,30,3.6,
266,Silcoon,205,50,35,55,25,25,15,3,60,10.0,
267,Beautifly,395,60,70,50,100,50,65,3,100,28.4,
268,Cascoon,205,50,35,55,25,25,15,3,70,11.5,
269,Dustox,385,60,50,70,50,90,65,3,120,31.6,
270,Lotad,220,40,30,30,40,50,30,3,50,2.6,
271,Lombre,340,60,50,50,60,70,50,3,120,32.5,
272,Ludicolo,480,80,70,70,90,100,70,3,150,55.0,
273,Seedot,220,40,40,50,30,30,30,3,50,4.0,
274,Nuzleaf,340,70,70,40,60,40,60,3,100,28.0,
275,Shiftry,480,90,100,60,90,60,80,3,130,59.6,
276,Taillow,270,40,55,30,30,30,85,3,30,2.3,
277,Swellow,455,60,85,60,75,50,125,3,70,19.8,
278,Wingull,270,40,30,30,55,30,85,3,60,9.5,
279,Pelipper,440,60,50,100,95,70,65,3,120,28.0,
280,Ralts,198,28,25,25,45,35,40,3,40,6.6,
281,Kirlia,278,38,35,35,65,55,50,3,80,20.2,
282,Gardevoir,518,68,65,65,125,115,80,3,160,48.4,
283,Surskit,269,40,30,32,50,52,65,3,50,1.7,
284,Masquerain,454,70,60,62,100,82,80,3,80,3.6,
285,Shroomish,295,60,40,60,40,60,35,3,40,4.5,
286,Breloom,460,60,130,80,60,60,70,3,120,39.2,
287,Slakoth,280,60,60,60,35,35,30,3,80,24.0,
288,Vigoroth,440,80,80,80,55,55,90,3,140,46.5,
289,Slaking,670,150,160,100,95,65,100,3,200,130.5,
290,Nincada,266,31,45,90,30,30,40,3,50,5.5,
291,Ninjask,456,61,90,45,50,50,160,3,80,12.0,
292,Shedinja,236,1,90,45,30,30,40,3,80,1.2,
293,Whismur,240,64,51,23,51,23,28,3,60,16.3,
294,Loudred,360,84,71,43,71,43,48,3,100,40.5,
295,Exploud,490,104,91,63,91,73,68,3,150,84.0,
296,Makuhita,237,72,60,30,20,30,25,3,100,86.4,
297,Hariyama,474,144,120,60,40,60,50,3,230,253.8,
298,Azurill,190,50,20,40,20,40,20,3,20,2.0,
299,Nosepass,375,30,45,135,45,90,30,3,100,97.0,
300,Skitty,260,50,45,45,35,35,50,3,60,11.0,
301,Delcatty,400,70,65,65,55,55,90,3,110,32.6,
302,Sableye,380,50,75,75,65,65,50,3,50,11.0,
303,Mawile,380,50,85,85,55,55,50,3,60,11.5,
304,Aron,330,50,70,100,40,40,30,3,40,60.0,
305,Lairon,430,60,90,140,50,50,40,3,90,120.0,
306,Aggron,530,70,110,180,60,60,50,3,210,360.0,
307,Meditite,280,30,40,55,40,55,60,3,60,11.2,
308,Medicham,410,60,60,75,60,75,80,3,130,31.5,
309,Electrike,295,40,45,40,65,40,65,3,60,15.2,
310,Manectric,475,70,75,60,105,60,105,3,150,40.2,
311,Plusle,405,60,50,40,85,75,95,3,40,4.2,
312,Minun,405,60,40,50,75,85,95,3,40,4.2,
313,Volbeat,430,65,73,75,47,85,85,3,70,17.7,
314,Illumise,430,65,47,75,73,85,85,3,60,17.7,
315,Roselia,400,50,60,45,100,80,65,3,30,2.0,
316,Gulpin,302,70,43,53,43,53,40,3,40,10.3,
317,Swalot,467,100,73,83,73,83,55,3,170,80.0,
318,Carvanha,305,45,90,20,65,20,65,3,80,20.8,
319,Sharpedo,460,70,120,40,95,40,95,3,180,88.8,
320,Wailmer,400,130,70,35,70,35,60,3,200,130.0,
321,Wailord,500,170,90,45,90,45,60,3,1450,398.0,
322,Numel,305,60,60,40,65,45,35,3,70,24.0,
323,Camerupt,460,70,100,70,105,75,40,3,190,220.0,
324,Torkoal,470,70,85,140,85,70,20,3,50,80.4,
325,Spoink,330,60,25,35,70,80,60,3,70,30.6,
326,Grumpig,470,80,45,65,90,110,80,3,90,71.5,
327,Spinda,360,60,60,60,60,60,60,3,110,5.0,
328,Trapinch,290,45,100,45,45,45,10,3,70,15.0,
329,Vibrava,340,50,70,50,50,50,70,3,110,15.3,
330,Flygon,520,80,100,80,80,80,100,3,200,82.0,
331,Cacnea,335,50,85,40,85,40,35,3,40,51.3,
332,Cacturne,475,70,115,60,115,60,55,3,130,77.4,
333,Swablu,310,45,40,60,40,75,50,3,40,1.2,
334,Altaria,490,75,70,90,70,105,80,3,110,20.6,
335,Zangoose,458,73,115,60,60,60,90,3,130,40.3,
336,Seviper,458,73,100,60,100,60,65,3,270,52.5,
337,Lunatone,460,90,55,65,95,85,70,3,100,168.0,
338,Solrock,460,90,95,85,55,65,70,3,120,154.0,
339,Barboach,288,50,48,43,46,41,60,3,40,1.9,
340,Whiscash,468,110,78,73,76,71,60,3,90,23.6,
341,Corphish,308,43,80,65,50,35,35,3,60,11.5,
342,Crawdaunt,468,63,120,85,90,55,55,3,110,32.8,
343,Baltoy,300,40,40,55,40,70,55,3,50,21.5,
344,Claydol,500,60,70,105,70,120,75,3,150,108.0,
345,Lileep,355,66,41,77,61,87,23,3,100,23.8,
346,Cradily,495,86,81,97,81,107,43,3,150,60.4,
347,Anorith,355,45,95,50,40,50,75,3,70,12.5,
348,Armaldo,495,75,125,100,70,80,45,3,150,68.2,
349,Feebas,200,20,15,20,10,55,80,3,60,7.4,
350,Milotic,540,95,60,79,100,125,81,3,620,162.0,
351,Castform,420,70,70,70,70,70,70,3,30,0.8,
352,Kecleon,440,60,90,70,60,120,40,3,100,22.0,
353,Shuppet,295,44,75,35,63,33,45,3,60,2.3,
354,Banette,455,64,115,65,83,63,65,3,110,12.5,
355,Duskull,295,20,40,90,30,90,25,3,80,15.0,
356,Dusclops,455,40,70,130,60,130,25,3,160,30.6,
357,Tropius,460,99,68,83,72,87,51,3,200,100.0,
358,Chimecho,455,75,50,80,95,90,65,3,60,1.0,
359,Absol,465,65,130,60,75,60,75,3,120,47.0,
360,Wynaut,260,95,23,48,23,48,23,3,60,14.0,
361,Snorunt,300,50,50,50,50,50,50,3,70,16.8,
362,Glalie,480,80,80,80,80,80,80,3,150,256.5,
363,Spheal,290,70,40,50,55,50,25,3,80,39.5,
364,Sealeo,410,90,60,70,75,70,45,3,110,87.6,
365,Walrein,530,110,80,90,95,90,65,3,140,150.6,
366,Clamperl,345,35,64,85,74,55,32,3,40,52.5,
367,Huntail,485,55,104,105,94,75,52,3,170,27.0,
368,Gorebyss,485,55,84,105,114,75,52,3,180,22.6,
369,Relicanth,485,100,90,130,45,65,55,3,100,23.4,
370,Luvdisc,330,43,30,55,40,65,97,3,60,8.7,
371,Bagon,300,45,75,60,40,30,50,3,60,42.1,
372,Shelgon,420,65,95,100,60,50,50,3,110,110.5,
373,Salamence,600,95,135,80,110,80,100,3,150,102.6,Pseudo-Legendary
374,Beldum,300,40,55,80,35,60,30,3,60,95.2,
375,Metang,420,60,75,100,55,80,50,3,120,202.5,
376,Metagross,600,80,135,130,95,90,70,3,160,550.0,Pseudo-Legendary
377,Regirock,580,80,100,200,50,100,50,3,170,230.0,Legendary
378,Regice,580,80,50,100,100,200,50,3,180,175.0,Legendary
379,Registeel,580,80,75,150,75,150,50,3,190,205.0,Legendary
380,Latias,600,80,80,90,110,130,110,3,140,40.0,Legendary
381,Latios,600,80,90,80,130,110,110,3,200,60.0,Legendary
382,Kyogre,670,100,100,90,150,140,90,3,450,352.0,Legendary
383,Groudon,670,100,150,140,100,90,90,3,350,950.0,Legendary
384,Rayquaza,680,105,150,90,150,90,95,3,700,206.5,Legendary
385,Jirachi,600,100,100,100,100,100,100,3,30,1.1,Mythical
386,Deoxys,600,50,150,50,150,50,150,3,170,60.8,Mythical
387,Turtwig,318,55,68,64,45,55,31,4,40,10.2,
388,Grotle,405,75,89,85,55,65,36,4,110,97.0,
389,Torterra,525,95,109,105,75,85,56,4,220,310.0,
390,Chimchar,309,44,58,44,58,44,61,4,50,6.2,
391,Monferno,405,64,78,52,78,52,81,4,90,22.0,
392,Infernape,534,76,104,71,104,71,108,4,120,55.0,
393,Piplup,314,53,51,53,61,56,40,4,40,5.2,
394,Prinplup,405,64,66,68,81,76,50,4,80,23.0,
395,Empoleon,530,84,86,88,111,101,60,4,170,84.5,
396,Starly,245,40,55,30,30,30,60,4,30,2.0,
397,Staravia,340,55,75,50,40,40,80,4,60,15.5,
398,Staraptor,485,85,120,70,50,60,100,4,120,24.9,
399,Bidoof,250,59,45,40,35,40,31,4,50,20.0,
400,Bibarel,410,79,85,60,55,60,71,4,100,31.5,
401,Kricketot,194,37,25,41,25,41,25,4,30,2.2,
402,Kricketune,384,77,85,51,55,51,65,4,100,25.5,
403,Shinx,263,45,65,34,40,34,45,4,50,9.5,
404,Luxio,363,60,85,49,60,49,60,4,90,30.5,
405,Luxray,523,80,120,79,95,79,70,4,140,42.0,
406,Budew,280,40,30,35,50,70,55,4,20,1.2,
407,Roserade,515,60,70,65,125,105,90,4,90,14.5,
408,Cranidos,350,67,125,40,30,30,58,4,90,31.5,
409,Rampardos,495,97,165,60,65,50,58,4,160,102.5,
410,Shieldon,350,30,42,118,42,88,30,4,50,57.0,
411,Bastiodon,495,60,52,168,47,138,30,4,130,149.5,
412,Burmy,224,40,29,45,29,45,36,4,20,3.4,
413,Wormadam,424,60,59,85,79,105,36,4,50,6.5,
414,Mothim,424,70,94,50,94,50,66,4,90,23.3,
415,Combee,244,30,30,42,30,42,70,4,30,5.5,
416,Vespiquen,474,70,80,102,80,102,40,4,120,38.5,
417,Pachirisu,405,60,45,70,45,90,95,4,40,3.9,
418,Buizel,330,55,65,35,60,30,85,4,70,29.5,
419,Floatzel,495,85,105,55,85,50,115,4,110,33.5,
420,Cherubi,275,45,35,45,62,53,35,4,40,3.3,
421,Cherrim,450,70,60,70,87,78,85,4,50,9.3,
422,Shellos,325,76,48,48,57,62,34,4,30,6.3,
423,Gastrodon,475,111,83,68,92,82,39,4,90,29.9,
424,Ambipom,482,75,100,66,60,66,115,4,120,20.3,
425,Drifloon,348,90,50,34,60,44,70,4,40,1.2,
426,Drifblim,498,150,80,44,90,54,80,4,120,15.0,
427,Buneary,350,55,66,44,44,56,85,4,40,5.5,
428,Lopunny,480,65,76,84,54,96,105,4,120,33.3,
429,Mismagius,495,60,60,60,105,105,105,4,90,4.4,
430,Honchkrow,505,100,125,52,105,52,71,4,90,27.3,
431,Glameow,310,49,55,42,42,37,85,4,50,3.9,
432,Purugly,452,71,82,64,64,59,112,4,100,43.8,
433,Chingling,285,45,30,50,65,50,45,4,20,0.6,
434,Stunky,329,63,63,47,41,41,74,4,40,19.2,
435,Skuntank,479,103,93,67,71,61,84,4,100,38.0,
436,Bronzor,300,57,24,86,24,86,23,4,50,60.5,
437,Bronzong,500,67,89,116,79,116,33,4,130,187.0,
438,Bonsly,290,50,80,95,10,45,10,4,50,15.0,
439,Mime Jr.,310,20,25,45,70,90,60,4,60,13.0,
440,Happiny,220,100,5,5,15,65,30,4,60,24.4,
441,Chatot,411,76,65,45,92,42,91,4,50,1.9,
442,Spiritomb,485,50,92,108,92,108,35,4,100,108.0,
443,Gible,300,58,70,45,40,45,42,4,70,20.5,
444,Gabite,410,68,90,65,50,55,82,4,140,56.0,
445,Garchomp,600,108,130,95,80,85,102,4,190,95.0,Pseudo-Legendary
446,Munchlax,390,135,85,40,40,85,5,4,60,105.0,
447,Riolu,285,40,70,40,35,40,60,4,70,20.2,
448,Lucario,525,70,110,70,115,70,90,4,120,54.0,
